"date","LE_mm_d","LE_mm_d_min","LE_mm_d_max","L3E_m3_d","L3E_m3_d_min","L3E_m3_d_max"
2020-09-19,0.876155846828072,0.87516443465771,0.877852273532757,24366.4812816256,24338.9094447441,24413.6600451926
2020-09-20,2.10620585546911,2.09668893585859,2.11688205172561,58574.9963757407,58310.3244633313,58871.9085485974
2020-09-21,3.48978671127743,3.46647406874328,3.51183211253291,97053.3072227427,96404.9670102222,97666.4046060248
2020-09-22,1.80654411479076,1.79943205287715,1.81057913159442,50241.20254044,50043.4113322671,50353.4190619337
2020-09-23,2.80923445331169,2.79173943027663,2.82597362535429,78126.6928368157,77640.1445214118,78592.2204295637
2020-09-24,1.93095284688271,1.92467119273178,1.93598191245298,53701.0927560492,53526.3957442785,53840.954439933
2020-09-25,0.837181521995042,0.836126234741359,0.839140443171948,23282.5791882411,23253.2309424847,23337.0580989989
2020-09-26,2.10446377173466,2.09901208638846,2.11185054597624,58526.5478595774,58374.9328364941,58731.9790016974
2020-09-27,3.28679007587716,3.27296527606253,3.3099875487057,91407.8347481589,91023.3578002219,92052.972013982
2020-09-28,3.36339059885798,3.33828681119814,3.39234739013132,93538.146628325,92839.9934694709,94343.4543998728
2020-09-29,3.63136116201751,3.60316099579723,3.66468354354497,100990.587578062,100206.322056314,101917.305340305
2020-09-30,3.45047661464317,3.43260606251447,3.48199290390227,95960.0670905386,95463.0750593691,96836.5562163926
2020-10-01,1.98575132579361,1.97506914547117,1.99955518963397,55225.0751793565,54927.9965856157,55608.9698838182
2020-10-02,2.95827419183052,2.94023331544534,2.98011451379,82271.5878483421,81769.858985452,82878.9818389626
2020-10-03,3.1218176565755,3.10458324658099,3.1469413936105,86819.8412063122,86340.5407142233,87518.5491706589
2020-10-04,3.12392481354876,3.10383682325181,3.14756597966205,86878.4426539111,86319.7821812016,87535.9193273372
2020-10-05,3.20474512197793,3.18532972174002,3.2281415309207,89126.1095954079,88586.154302996,89776.7794078904
2020-10-06,3.08992563765225,3.07523916250933,3.11387954110875,85932.9027866921,85524.4620703987,86599.0768952226
2020-10-07,3.14470602897634,3.124344541785,3.1665834150322,87456.3821820883,86890.1155774541,88064.8069500687
2020-10-08,2.45097862020861,2.43592664943775,2.46475150485802,68163.3580226473,67744.7526279933,68546.3911750468
2020-10-09,2.46220613790938,2.45186443094775,2.47433886570043,68475.6028143533,68187.9930129546,68813.022105323
2020-10-10,0.698769433022526,0.695679597990035,0.701933676263844,19433.2462330262,19347.3158500297,19521.2459581769
2020-10-11,1.61558796885303,1.61293377978056,1.62033840506258,44930.5841470937,44856.7693702064,45062.6969617243
2020-10-12,2.04412066996326,2.03490387825193,2.05166736694319,56848.3657586292,56592.0406042359,57058.2444592795
2020-10-13,0.468456492290253,0.467269584722205,0.469489441235376,13028.0890003423,12995.0803054343,13056.816002767
2020-10-14,1.61933812533498,1.61611839182363,1.62235582934241,45034.8785121332,44945.3355653844,45118.8028829821
2020-10-15,2.37214355644412,2.36436506401479,2.38040114885717,65970.9020657448,65754.5769783019,66200.5512448174
2020-10-16,0.684479743875749,0.681289736271625,0.686794328756614,19035.8404012033,18947.1241518562,19100.2105579266
2020-10-17,1.42489318540857,1.41787693815958,1.43200624282458,39627.2344198449,39432.1078817081,39825.0533136066
2020-10-18,0.776877831002026,0.772858533388872,0.780172120754068,21605.4931274519,21493.7137671809,21697.1095332204
2020-10-19,0.618973623744484,0.616789497954392,0.620086162246394,17214.0712995202,17153.3292975423,17245.0117408583
2020-10-20,1.83549090027377,1.83073112689376,1.84234611315911,51046.2320442533,50913.8595566545,51236.8801088147
2020-10-21,1.12969088801263,1.12448594588901,1.13422742752368,31417.460690854,31272.7077621527,31543.6248949502
2020-10-22,1.52793062415357,1.52278385360319,1.53581028403534,42492.7746448814,42349.6395066173,42711.9132669767
2020-10-23,0.426567746191787,0.424944797561674,0.428183021605163,11863.1348983818,11817.9996093121,11908.0567901516
2020-10-24,1.57414458855484,1.57022566647933,1.5776265367939,43778.0159665137,43669.0281172142,43874.851280571
2020-10-25,2.36089717312145,2.34997354851206,2.37572488701629,65658.1326084503,65354.339287278,66070.5012690897
2020-10-26,1.45831534904975,1.4507782173622,1.46491116394293,40556.7271895418,40347.1145060828,40740.1612220984
2020-10-27,1.57974379498091,1.57443319433303,1.58540421375495,43933.7336496938,43786.0422866228,44091.1536892943
2020-10-28,0.518404412620034,0.517083564909251,0.519260950225705,14417.1741387658,14380.4404787244,14440.9950236131
2020-10-29,1.53028802151275,1.52907529113828,1.5326757796697,42558.3354453185,42524.6086008579,42624.7405998889
2020-10-30,0.839271478286936,0.83761078682738,0.840835362480968,23340.7022733637,23294.5173309127,23384.1949408822
2020-10-31,2.19709106611112,2.19250599166653,2.20540105028065,61102.5749930635,60975.0609999386,61333.6812219959
2020-11-01,2.03402838068821,2.02513037574492,2.04581423707887,56567.6924302488,56320.2329495189,56895.4649951074
2020-11-02,2.10779048999435,2.09987591312585,2.11978492500075,58619.0661238765,58398.9564369795,58952.639399824
2020-11-03,1.62911160521783,1.62384157183103,1.63677763446741,45306.6855376574,45160.122377304,45519.8829487006
2020-11-04,0.387831196724926,0.386389713554356,0.388690906314326,10785.8454972826,10745.7568842571,10809.7545971232
