"dateOn","dateOff","TN_wet_kg"
2015-10-20 16:00:00,2015-10-27 16:00:00,59.0253740289982
2015-10-27 16:00:00,2015-11-03 17:00:00,167.442499125433
2015-11-03 17:00:00,2015-11-10 16:00:00,91.093797924859
2015-11-10 16:00:00,2015-11-17 16:00:00,66.3398578808406
2015-11-17 16:00:00,2015-11-24 17:00:00,146.684088526263
2015-11-24 17:00:00,2015-12-01 15:00:00,6.94846297802503
2015-12-01 15:00:00,2015-12-08 15:00:00,56.5681189815698
2015-12-08 15:00:00,2015-12-15 17:00:00,59.6363020832903
2015-12-15 17:00:00,2015-12-22 18:00:00,NA
2015-12-22 18:00:00,2015-12-29 16:00:00,91.9043004223379
2015-12-29 16:00:00,2016-01-05 19:00:00,9.81473405654544
2016-01-05 19:00:00,2016-01-12 23:00:00,55.4345621941496
2016-01-12 23:00:00,2016-01-19 17:00:00,121.614701030802
2016-01-19 17:00:00,2016-01-26 16:00:00,69.3044580370743
2016-01-26 16:00:00,2016-02-02 16:00:00,70.1562442071722
2016-02-02 16:00:00,2016-02-09 14:00:00,44.2199796382294
2016-02-09 14:00:00,2016-02-16 16:00:00,130.194069553725
2016-02-16 16:00:00,2016-02-23 22:00:00,124.974268058397
2016-02-23 22:00:00,2016-03-01 19:00:00,29.4100957366785
2016-03-01 19:00:00,2016-03-08 15:00:00,125.477229760153
2016-03-08 15:00:00,2016-03-15 20:00:00,157.238440419364
2016-03-15 20:00:00,2016-03-23 01:00:00,31.2076043404326
2016-03-23 01:00:00,2016-03-29 20:00:00,120.912142391605
2016-03-29 20:00:00,2016-04-06 01:00:00,56.0856643425669
2016-04-06 01:00:00,2016-04-12 17:00:00,NA
2016-04-12 17:00:00,2016-04-19 18:00:00,148.545563090113
2016-04-19 18:00:00,2016-04-26 16:00:00,249.55032088701
2016-04-26 16:00:00,2016-05-03 17:00:00,NA
2016-05-03 17:00:00,2016-05-10 15:00:00,57.6447074784562
2016-05-10 15:00:00,2016-05-17 17:00:00,58.0432319644146
2016-05-17 17:00:00,2016-05-25 01:00:00,199.652518627491
2016-05-25 01:00:00,2016-05-31 16:00:00,88.4650045822355
2016-05-31 16:00:00,2016-06-07 17:00:00,34.8178762467841
2016-06-07 17:00:00,2016-06-14 17:00:00,99.3975057926423
2016-06-14 17:00:00,2016-06-21 21:00:00,257.531270697572
2016-06-21 21:00:00,2016-06-29 03:00:00,66.601019875112
2016-06-29 03:00:00,2016-07-05 18:00:00,NA
2016-07-05 18:00:00,2016-07-12 14:00:00,162.743726870376
